CensusTract,PercentBlack
8001.02,0.379
8001.03,0.387
8001.05,0.684
8001.06,0.664
8001.08,0.687
8001.09,0.44
8002.03,0.258
8002.06,0.759
8002.09,0.623
8002.10,0.638
8002.11,0.605
8002.12,0.598
8002.13,0.581
8002.16,0.535
8002.17,0.784
8002.18,0.649
8004.01,0.281
8004.02,0.443
8004.03,0.404
8004.08,0.516
8004.09,0.6
8004.10,0.606
8004.11,0.622
8004.12,0.487
8004.13,0.87
8005.04,0.365
8005.05,0.336
8005.07,0.665
8005.11,0.665
8005.13,0.572
8005.14,0.835
8005.15,0.701
8005.16,0.687
8005.17,0.906
8005.18,0.855
8005.19,0.77
8005.20,0.868
8005.21,0.884
8005.22,0.981
8006.05,0.809
8006.06,0.837
8006.07,0.916
8006.08,0.93
8006.09,0.777
8007.01,0.891
8007.04,0.862
8007.05,0.853
8007.06,0.854
8007.07,0.733
8008.00,0.458
8009.00,0.406
8010.03,0.828
8010.04,0.734
8010.05,0.873
8010.06,0.843
8011.05,0.354
8011.06,0.341
8012.07,0.859
8012.08,0.944
8012.09,0.855
8012.10,0.765
8012.11,0.762
8012.12,0.81
8012.13,0.8
8012.14,0.74
8012.15,0.871
8012.16,0.724
8012.17,0.675
8013.02,0.516
8013.05,0.666
8013.07,0.58
8013.08,0.763
8013.09,0.648
8013.10,0.8
8013.11,0.845
8013.12,0.683
8013.13,0.596
8014.04,0.524
8014.05,0.425
8014.06,0.786
8014.07,0.813
8014.08,0.854
8014.09,0.751
8014.10,0.542
8014.11,0.626
8015.00,0.581
8016.00,0.729
8017.01,0.868
8017.02,0.876
8017.04,0.819
8017.07,0.632
8017.09,0.789
8018.01,0.954
8018.02,0.924
8018.07,0.916
8018.08,0.881
8018.09,0.822
8019.01,0.876
8019.04,0.794
8019.05,0.82
8019.06,0.714
8019.07,0.909
8019.08,0.986
8020.01,0.923
8020.02,0.899
8021.03,0.813
8021.04,0.856
8021.06,0.843
8021.07,0.961
8022.01,0.626
8022.03,0.842
8022.04,0.925
8023.01,0.842
8024.04,0.97
8024.05,0.944
8024.06,0.868
8024.07,0.956
8024.08,0.849
8025.01,0.961
8025.02,0.814
8026.00,0.829
8027.00,0.726
8028.03,0.916
8028.04,0.925
8028.05,0.851
8029.01,0.84
8030.01,0.838
8030.02,0.917
8031.00,0.859
8032.00,0.819
8033.00,0.686
8034.03,0.761
8035.08,0.668
8035.09,0.743
8035.12,0.892
8035.13,0.938
8035.14,0.936
8035.16,0.915
8035.19,0.961
8035.20,0.932
8035.21,0.877
8035.24,0.888
8035.25,0.935
8035.26,0.958
8035.27,0.899
8035.28,0.92
8036.01,0.717
8036.02,0.855
8036.05,0.496
8036.06,0.422
8036.07,0.648
8036.08,0.523
8036.10,0.641
8036.12,0.768
8036.13,0.814
8037.00,0.315
8038.01,0.363
8038.03,0.374
8039.00,0.197
8040.01,0.699
8040.02,0.538
8041.01,0.604
8041.02,0.664
8042.00,0.43
8043.00,0.58
8044.00,0.312
8046.00,0.417
8047.00,0.337
8048.01,0.591
8048.02,0.493
8049.00,0.491
8050.00,0.641
8051.01,0.285
8052.01,0.398
8052.02,0.659
8055.00,0.194
8056.01,0.011
8056.02,0.08
8057.00,0.307
8058.01,0.414
8058.02,0.227
8059.04,0.198
8059.06,0.287
8059.07,0.458
8059.08,0.574
8059.09,0.487
8060.00,0.241
8061.00,0.305
8064.00,0.168
8065.01,0.208
8066.01,0.141
8066.02,0.384
8067.06,0.543
8067.08,0.315
8067.10,0.512
8067.11,0.674
8067.12,0.74
8067.13,0.698
8067.14,0.514
8068.00,0.15
8069.00,0.171
8070.00,0.314
8071.02,0.183
8073.01,0.437
8073.04,0.256
8073.05,0.301
8074.04,0.252
8074.05,0.223
8074.07,0.411
8074.08,0.451
8074.09,0.506
8074.10,0.353
8075.00,0.316
9800.00,0.248
