Station Name,Latitude,Longitude,Phase,Opening Date
McLean,38.92464,-77.21044,1,7/26/2014
Tysons,38.9207,-77.22237,1,7/26/2014
Greensboro,38.92076,-77.2337,1,7/26/2014
Spring Hill,38.92944,-77.24212,1,7/26/2014
Wiehle-Reston East,38.94785,-77.33997,1,7/26/2014
Reston Town Center,38.95274,-77.3604,2,11/15/2022
Herndon,38.95302,-77.38508,2,11/15/2022
Innovation Center,38.96078,-77.41541,2,11/15/2022
Washington Dulles International Airport,38.95584,-77.44819,2,11/15/2022
Loudoun Gateway,38.99192,-77.46081,2,11/15/2022
Ashburn,39.00532,-77.49172,2,11/15/2022
