ACCT,Steet Name,City,ZIP,Licence Type,Lic Status,Point X,Point Y
332624,Colesville Manor,SILV,20904,ACC,EX,"1,311,838.00","516,893.00"
1741671,Friars,BETH,20817,ACC,LI,"1,274,691.00","489,341.00"
624230,Elgin,BETH,20817,RLU,AP,"1,274,671.00","477,097.00"
277885,Norwood,SILV,20906,RLU,AP,"1,310,651.00","525,154.00"
40962,Trundle,DICK,20842,RLU,AP,"1,179,133.00","542,679.00"
2158098,Colesberg,SILV,20905,ACC,EX,"1,318,686.00","524,881.00"
388328,Berryville,GERM,20874,RLU,AP,"1,219,885.00","515,281.00"
2060221,Manor Stone,GERM,20874,RLU,AP,"1,221,833.00","515,140.00"
3447050,Aventurine,SILV,20904,ACC,LI,"1,322,610.00","510,838.00"
1761623,Black Rock,GERM,20874,ACC,LI,"1,225,486.00","535,076.00"
3373995,Black Kettle,BOYD,20841,RLU,AP,"1,229,057.00","545,052.00"
407228,Chestnut Oak,GAIT,20878,ACC,EX,"1,234,781.00","525,170.00"
3245751,Quail Run,GAIT,20878,RLU,PE,"1,236,077.00","523,409.00"
2609975,Bracken Hill,POTO,20854,RLU,AP,"1,238,079.00","506,415.00"
523682,Bradley,CHEV,20815,RLU,PE,"1,287,859.00","477,401.00"
410966,Bradbury,GAIT,20878,ACC,LI,"1,240,496.00","533,711.00"
391782,Stoney Creek,POTO,20854,RLU,AP,"1,238,398.00","504,101.00"
2770827,Turley,NPOT,20878,RLU,AP,"1,240,362.00","524,481.00"
2307290,Mossbrook,GERM,20874,RLU,AP,"1,240,502.00","548,292.00"
815617,St Johnsbury,GERM,20876,RLU,AP,"1,244,813.00","549,255.00"
2740103,Ridge View,BOYD,20841,RLU,AP,"1,240,370.00","565,643.00"
2751301,Brink Meadow,GERM,20876,RLU,AP,"1,242,884.00","563,685.00"
2266052,Shakespeare,GERM,20876,RLU,AP,"1,244,319.00","558,549.00"
31592,Greenfield,GERM,20876,RLU,AP,"1,240,682.00","555,975.00"
412032,Cherry Grove,GAIT,20878,ACC,LI,"1,244,587.00","525,178.00"
2404580,Pleasant Meadow,NPOT,20878,RLU,AP,"1,245,134.00","518,299.00"
1472634,High Point,GAIT,20879,RLU,AP,"1,245,475.00","546,409.00"
1472315,Rambling,GAIT,20879,RLU,AP,"1,245,765.00","547,051.00"
411174,Bradbury,GAIT,20878,ACC,PE,"1,240,087.00","533,883.00"
3218154,Potomac Oaks,ROCK,20850,RLU,PE,"1,246,659.00","515,434.00"
2878158,Centurion,POTO,20854,RLU,AP,"1,243,907.00","512,273.00"
3077170,Seneca Forest,GERM,20876,RLU,AP,"1,245,977.00","560,673.00"
3474827,Potomac Oaks,ROCK,20850,RLU,AP,"1,248,768.00","516,443.00"
3113198,Beechknoll,POTO,20854,RLU,AP,"1,250,468.00","514,574.00"
817376,Staleybridge,GERM,20876,RLU,AP,"1,243,774.00","546,985.00"
1553387,Joshua Tree,GAIT,20878,ACC3,LI,"1,245,936.00","522,754.00"
856140,Spring Knoll,ROCK,20854,ACC3,LI,"1,249,107.00","494,799.00"
867644,Falls,POTO,20854,RLU,AP,"1,247,388.00","485,018.00"
2866151,River,POTO,20854,RLU,AP,"1,250,546.00","493,997.00"
397994,Albermyrtle,POTO,20854,RLU,AP,"1,245,819.00","506,691.00"
2833093,Knights,GERM,20876,RLU,AP,"1,247,545.00","552,123.00"
1884930,Dalyn,POTO,20854,RLU,AP,"1,236,503.00","502,623.00"
2335834,Cloverdale,GERM,20874,ACC3,LI,"1,233,810.00","556,918.00"
2098212,Beall Creek,GAIT,20877,ACC,EX,"1,236,616.00","506,368.00"
1743134,Bradley,CHEV,20815,ACC,EX,"1,290,774.00","477,220.00"
