ACCT,Steet Name,City,ZIP,Licence Type,Lic Status,Point X,Point Y,geometry
332624,Colesville Manor,SILV,20904,ACC,EX,1311838.0,516893.0,POINT (1311838 516893)
1741671,Friars,BETH,20817,ACC,LI,1274691.0,489341.0,POINT (1274691 489341)
624230,Elgin,BETH,20817,RLU,AP,1274671.0,477097.0,POINT (1274671 477097)
277885,Norwood,SILV,20906,RLU,AP,1310651.0,525154.0,POINT (1310651 525154)
40962,Trundle,DICK,20842,RLU,AP,1179133.0,542679.0,POINT (1179133 542679)
2158098,Colesberg,SILV,20905,ACC,EX,1318686.0,524881.0,POINT (1318686 524881)
388328,Berryville,GERM,20874,RLU,AP,1219885.0,515281.0,POINT (1219885 515281)
2060221,Manor Stone,GERM,20874,RLU,AP,1221833.0,515140.0,POINT (1221833 515140)
3447050,Aventurine,SILV,20904,ACC,LI,1322610.0,510838.0,POINT (1322610 510838)
1761623,Black Rock,GERM,20874,ACC,LI,1225486.0,535076.0,POINT (1225486 535076)
3373995,Black Kettle,BOYD,20841,RLU,AP,1229057.0,545052.0,POINT (1229057 545052)
407228,Chestnut Oak,GAIT,20878,ACC,EX,1234781.0,525170.0,POINT (1234781 525170)
3245751,Quail Run,GAIT,20878,RLU,PE,1236077.0,523409.0,POINT (1236077 523409)
2609975,Bracken Hill,POTO,20854,RLU,AP,1238079.0,506415.0,POINT (1238079 506415)
523682,Bradley,CHEV,20815,RLU,PE,1287859.0,477401.0,POINT (1287859 477401)
410966,Bradbury,GAIT,20878,ACC,LI,1240496.0,533711.0,POINT (1240496 533711)
391782,Stoney Creek,POTO,20854,RLU,AP,1238398.0,504101.0,POINT (1238398 504101)
2770827,Turley,NPOT,20878,RLU,AP,1240362.0,524481.0,POINT (1240362 524481)
2307290,Mossbrook,GERM,20874,RLU,AP,1240502.0,548292.0,POINT (1240502 548292)
815617,St Johnsbury,GERM,20876,RLU,AP,1244813.0,549255.0,POINT (1244813 549255)
2740103,Ridge View,BOYD,20841,RLU,AP,1240370.0,565643.0,POINT (1240370 565643)
2751301,Brink Meadow,GERM,20876,RLU,AP,1242884.0,563685.0,POINT (1242884 563685)
2266052,Shakespeare,GERM,20876,RLU,AP,1244319.0,558549.0,POINT (1244319 558549)
31592,Greenfield,GERM,20876,RLU,AP,1240682.0,555975.0,POINT (1240682 555975)
412032,Cherry Grove,GAIT,20878,ACC,LI,1244587.0,525178.0,POINT (1244587 525178)
2404580,Pleasant Meadow,NPOT,20878,RLU,AP,1245134.0,518299.0,POINT (1245134 518299)
1472634,High Point,GAIT,20879,RLU,AP,1245475.0,546409.0,POINT (1245475 546409)
1472315,Rambling,GAIT,20879,RLU,AP,1245765.0,547051.0,POINT (1245765 547051)
411174,Bradbury,GAIT,20878,ACC,PE,1240087.0,533883.0,POINT (1240087 533883)
3218154,Potomac Oaks,ROCK,20850,RLU,PE,1246659.0,515434.0,POINT (1246659 515434)
2878158,Centurion,POTO,20854,RLU,AP,1243907.0,512273.0,POINT (1243907 512273)
3077170,Seneca Forest,GERM,20876,RLU,AP,1245977.0,560673.0,POINT (1245977 560673)
3474827,Potomac Oaks,ROCK,20850,RLU,AP,1248768.0,516443.0,POINT (1248768 516443)
3113198,Beechknoll,POTO,20854,RLU,AP,1250468.0,514574.0,POINT (1250468 514574)
817376,Staleybridge,GERM,20876,RLU,AP,1243774.0,546985.0,POINT (1243774 546985)
1553387,Joshua Tree,GAIT,20878,ACC3,LI,1245936.0,522754.0,POINT (1245936 522754)
856140,Spring Knoll,ROCK,20854,ACC3,LI,1249107.0,494799.0,POINT (1249107 494799)
867644,Falls,POTO,20854,RLU,AP,1247388.0,485018.0,POINT (1247388 485018)
2866151,River,POTO,20854,RLU,AP,1250546.0,493997.0,POINT (1250546 493997)
397994,Albermyrtle,POTO,20854,RLU,AP,1245819.0,506691.0,POINT (1245819 506691)
2833093,Knights,GERM,20876,RLU,AP,1247545.0,552123.0,POINT (1247545 552123)
1884930,Dalyn,POTO,20854,RLU,AP,1236503.0,502623.0,POINT (1236503 502623)
2335834,Cloverdale,GERM,20874,ACC3,LI,1233810.0,556918.0,POINT (1233810 556918)
2098212,Beall Creek,GAIT,20877,ACC,EX,1236616.0,506368.0,POINT (1236616 506368)
1743134,Bradley,CHEV,20815,ACC,EX,1290774.0,477220.0,POINT (1290774 477220)
3149408,Lake Placid,GERM,20874,ACC3,FD,1233708.0,546169.0,POINT (1233708 546169)
1069511,Cedar,TAKO,20912,ACC,EX,1308003.0,477360.0,POINT (1308003 477360)
