OBJECTID_1,FID_Metrorail_Stations_Buffer,OBJECTID,NAME,STATION,NODE,YEAR_,GlobalID,CreationDa,Creator,EditDate,Editor,BUFF_DIST,ORIG_FID,FID_Current_Housing_Units,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC
1,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,76381,76382,0391 45 0014,193035,,1/1/2023,1,SF,11,2002,
2,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,87266,87267,0391 45 0013,293593,,1/1/2023,1,SF,11,2002,
3,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,122391,122392,0391 45 0012,402814,,1/1/2023,1,SF,11,2002,
4,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,83608,83609,0391 45 0011,376628,,1/1/2023,1,SF,11,2002,
5,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,83607,83608,0391 45 0010,131234,,1/1/2023,1,SF,11,2002,
6,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,76380,76381,0391 45 0009,222740,,1/1/2023,1,SF,11,2002,
7,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,68773,68774,0391 45 0027,248642,,1/1/2023,1,SF,11,2002,
8,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,68980,68981,0391 45 0008,140876,,1/1/2023,1,SF,11,2002,
9,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,84534,84535,0391 45 0007,360914,,1/1/2023,1,SF,11,2002,
10,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,77980,77981,0391 45 0006,419727,,1/1/2023,1,SF,11,2002,
