Year,County,Area,Total population,Density,Total housing units,Number of Traps,Average Abundance
2010,Anne Arundel,414.8,527020.0,1270.540019286403,209626.0,6,1.5765113871635605
2010,Baltimore,598.4,799195.0,1335.55314171123,333175.0,13,0.8629796640141472
2010,Garrett,649.1,30145.0,46.44122631335696,18666.0,1,0.111111111111111
2010,Kent,277.0,20018.0,72.26714801444044,10424.0,14,0.3428571428571429
2010,Montgomery,493.1,947230.0,1920.9693774082336,371761.0,4,2.4541666666666626
2010,Prince George's,482.6,854722.0,1771.0774968918358,325165.0,7,1.245415495860028
2011,Anne Arundel,414.8,532369.0,1283.4353905496625,211377.0,149,1.4625533675869244
2011,Harford,437.1,243955.0,558.1217112788835,95274.0,1,0.16
2011,Kent,277.0,20098.0,72.55595667870035,10502.0,1,4.0
2011,Prince George's,482.6,858539.0,1778.9867384997926,327005.0,92,0.8693988628214824
2011,St. Mary's,358.6,103805.0,289.4729503625209,40985.0,1,0.1
2011,Worcester,468.4,51307.0,109.53672075149446,55550.0,10,2.783448275862068
2012,Anne Arundel,414.8,538473.0,1298.1509161041465,212860.0,136,0.992358172872879
2012,Caroline,319.4,32947.0,103.15278647463995,13489.0,14,0.12109788359788368
2012,Garrett,649.1,30079.0,46.33954706516715,18850.0,1,0.350000000000001
2012,Prince George's,482.6,865443.0,1793.2925818483216,327803.0,61,0.801099292724382
2012,Queen Anne's,371.7,47894.0,128.8512241054614,20157.0,71,0.17663976059083544
2012,Somerset,319.7,26402.0,82.58367219268064,11129.0,19,3.5809253525971814
2013,Baltimore City,80.95,621445.0,7676.899320568252,296256.0,2,0.09999999999999984
2013,Carroll,447.6,167261.0,373.6840929401251,62499.0,42,1.5838003579464992
2013,Cecil,346.3,101435.0,292.9107710077967,41431.0,46,2.0608974816620984
2013,Charles,457.8,148957.0,325.3757099169943,55645.0,8,2.049999999999999
2013,Harford,437.1,246664.0,564.3193777167696,96312.0,31,1.554160703891884
2013,Kent,277.0,20130.0,72.67148014440433,10585.0,2,1.6722222222222214
2013,Montgomery,493.1,989474.0,2006.6396268505373,377824.0,2,0.6466666666666665
2013,Prince George's,482.6,873481.0,1809.9481972648155,328432.0,33,2.1281074023885718
2013,St. Mary's,358.6,107079.0,298.60290016731733,41847.0,29,0.8766041730772753
2013,Talbot,268.6,37859.0,140.94936708860757,19742.0,37,1.0211809795143123
2013,Wicomico,374.4,99683.0,266.2473290598291,41240.0,12,0.3395141760429428
2014,Anne Arundel,414.8,550269.0,1326.5887174541947,215897.0,26,0.4683033594491924
2014,Baltimore,598.4,817720.0,1366.5106951871658,336281.0,8,0.19081790123456824
2014,Calvert,213.2,89793.0,421.16791744840526,34195.0,35,0.12212773998488302
2014,Caroline,319.4,32759.0,102.56418284283032,13514.0,23,0.07170749942489074
2014,Carroll,447.6,167399.0,373.9924039320822,62717.0,25,0.19118127022888953
2014,Cecil,346.3,101803.0,293.97343343921455,41772.0,37,0.12051337051337066
2014,Charles,457.8,150960.0,329.7509829619921,56404.0,17,0.13716745957642323
2014,Dorchester,540.8,32614.0,60.3069526627219,16652.0,5,0.0551587301587302
2014,Frederick,660.6,239253.0,362.1752951861944,91814.0,51,0.2559905443658946
2014,Garrett,649.1,29945.0,46.13310737944847,18987.0,26,0.4374236874236876
2014,Harford,437.1,248029.0,567.4422328986502,96932.0,39,0.25973957718971996
2014,Howard,251.0,299269.0,1192.3067729083666,112040.0,22,0.13780663780663796
2014,Kent,277.0,20016.0,72.25992779783394,10616.0,48,0.24634957378012948
2014,Montgomery,493.1,1005087.0,2038.3025755424862,380250.0,61,0.3401847001012693
2014,Prince George's,482.6,884764.0,1833.3278077082468,329350.0,98,1.2734177892953777
2014,Queen Anne's,371.7,48439.0,130.31746031746033,20441.0,17,0.0960161842514785
2014,St. Mary's,358.6,108472.0,302.4874511991076,42330.0,38,0.23181465568683648
2014,Talbot,268.6,37894.0,141.07967237527922,19893.0,3,0.09523809523809527
2014,Washington,457.8,148913.0,325.2795980777632,61006.0,79,0.6085269250044462
2014,Wicomico,374.4,100376.0,268.0982905982906,41472.0,8,0.13881283068783087
2014,Worcester,468.4,51558.0,110.07258753202392,55731.0,17,0.05405125012968155
2015,Anne Arundel,414.8,555280.0,1338.669238187078,217545.0,33,0.8643999518999514
2015,Baltimore,598.4,822959.0,1375.2657085561498,336682.0,4,0.4126984126984134
2015,Calvert,213.2,90114.0,422.6735459662289,34384.0,35,0.13825769277115044
2015,Carroll,447.6,167444.0,374.0929401251117,62919.0,8,0.14191468253968276
2015,Cecil,346.3,101960.0,294.42679757435747,42030.0,25,0.14285008818342168
2015,Charles,457.8,152754.0,333.6697247706422,57156.0,32,0.4306199009324012
2015,Dorchester,540.8,32534.0,60.15902366863906,16688.0,12,0.43898927626606227
2015,Frederick,660.6,241373.0,365.3844989403572,92708.0,25,0.7288113396004706
2015,Garrett,649.1,29813.0,45.92974888306886,19022.0,14,0.3354430961573824
2015,Harford,437.1,248966.0,569.5859071150766,97572.0,6,0.058201058201058344
2015,Howard,251.0,304115.0,1211.613545816733,113490.0,7,0.23582766439909322
2015,Kent,277.0,19923.0,71.92418772563177,10644.0,19,0.1264172335600909
2015,Prince George's,482.6,892816.0,1850.0124326564442,329897.0,29,0.3345384012726812
2015,Somerset,319.7,25980.0,81.2636847044104,11181.0,3,0.7666666666666663
2015,St. Mary's,358.6,109614.0,305.6720580033463,42762.0,9,0.7739564961787173
2015,Talbot,268.6,37799.0,140.7259865971705,20027.0,13,0.10599950731529678
2015,Washington,457.8,149270.0,326.05941459152467,61111.0,7,0.44085411942554836
2015,Wicomico,374.4,101182.0,270.2510683760684,41685.0,14,0.4423815879576664
2015,Worcester,468.4,51519.0,109.98932536293766,55749.0,4,0.07142857142857155
