GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330800102,2010,800102,1335915,0,Census Tract 8001.02,39.1060838,-76.8569523,2397,1452,762,4,72,0,14,93,366,141,10,0,0,1,179,35,2763
G2400330800103,2010,800103,2284372,0,Census Tract 8001.03,39.0966921,-76.8401149,1688,664,701,12,261,6,11,33,490,145,22,4,6,0,270,43,2178
G2400330800105,2010,800105,2042693,1651,Census Tract 8001.05,39.1059477,-76.8747843,3043,864,1852,3,228,2,12,82,422,177,40,1,0,0,184,20,3465
G2400330800106,2010,800106,2237016,51673,Census Tract 8001.06,39.0953896,-76.8795699,2404,603,1533,8,189,0,7,64,247,113,38,1,0,0,69,26,2651
G2400330800108,2010,800108,918398,0,Census Tract 8001.08,39.0957168,-76.8604023,2983,640,1977,9,240,2,16,99,576,222,41,12,0,0,262,39,3559
G2400330800109,2010,800109,883897,0,Census Tract 8001.09,39.098948,-76.8657084,2740,947,1506,15,185,3,14,70,1078,368,39,10,2,4,568,87,3818
G2400330800203,2010,800203,10625178,296169,Census Tract 8002.03,39.101715,-76.8998097,3795,2770,691,4,205,1,16,108,457,212,11,5,3,0,193,33,4252
G2400330800206,2010,800206,7920360,55587,Census Tract 8002.06,39.0428011,-76.8267734,3632,657,2673,6,184,0,9,103,357,124,48,1,1,0,142,41,3989
G2400330800208,2010,800208,5898633,23056,Census Tract 8002.08,39.0582176,-76.8605529,6959,1932,4251,13,548,0,21,194,682,271,79,4,5,0,270,53,7641
G2400330800209,2010,800209,722089,0,Census Tract 8002.09,39.0865642,-76.8498905,3152,517,2374,13,132,0,16,100,849,278,41,11,2,0,440,77,4001
G2400330800210,2010,800210,939813,0,Census Tract 8002.10,39.0769099,-76.8552627,2383,298,1890,6,76,1,9,103,499,181,47,1,0,0,236,34,2882
G2400330800211,2010,800211,2991614,9662,Census Tract 8002.11,39.0771084,-76.8420612,2655,498,1849,13,196,5,9,85,285,99,30,0,1,0,130,25,2940
G2400330800212,2010,800212,4342705,19597,Census Tract 8002.12,39.0679243,-76.8829525,3838,701,2094,5,908,0,9,121,361,166,42,17,0,0,106,30,4199
G2400330800213,2010,800213,2399942,11911,Census Tract 8002.13,39.0861685,-76.8633956,3688,802,2244,12,496,1,12,121,667,256,42,2,2,0,313,52,4355
G2400330800214,2010,800214,727985,0,Census Tract 8002.14,39.0699923,-76.8513019,2251,419,1695,4,65,0,12,56,439,105,43,3,0,0,265,23,2690
G2400330800215,2010,800215,1424236,0,Census Tract 8002.15,39.0689024,-76.8638456,2300,570,1518,2,113,1,10,86,334,150,39,11,4,0,104,26,2634
G2400330800401,2010,800401,4911245,34747,Census Tract 8004.01,38.9947235,-76.7252623,2392,1639,556,1,104,0,4,88,140,70,8,0,5,0,51,6,2532
