GISJOIN,YEAR,TRACTA,AREALAND,AREAWAT,ANPSADPI,INTPTLAT,INTPTLNG,Total_Not_Hispanic,White,Black,NA,Asian_PI,Other,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian_PI,Hispanic_Other,Total
G2400330800102,1990,800102,1397,0,Tract 8001.02,39104950,-76857382,2769,2329,385,11,43,1,71,46,6,0,1,18,2840
G2400330800103,1990,800103,2104,0,Tract 8001.03,39096018,-76838929,1936,1526,189,4,214,3,69,53,0,0,0,16,2005
G2400330800104,1990,800104,3979,55,Tract 8001.04,39096937,-76871243,8123,6483,1219,21,382,18,265,146,21,1,0,97,8388
G2400330800105,1990,800105,2009,0,Tract 8001.05,39105800,-76875240,3318,2748,430,5,129,6,103,62,18,0,0,23,3421
G2400330800202,1990,800202,6750,12,Tract 8002.02,39081848,-76869555,4088,3112,675,6,291,4,161,112,14,4,6,25,4249
G2400330800203,1990,800203,10486,356,Tract 8002.03,39101033,-76899965,4081,3879,100,5,94,3,70,60,2,0,0,8,4151
G2400330800204,1990,800204,4582,0,Tract 8002.04,39080747,-76847250,9081,5822,2704,33,512,10,392,199,29,5,16,143,9473
G2400330800206,1990,800206,7708,0,Tract 8002.06,39046450,-76838733,3657,2044,1368,4,233,8,107,63,11,0,4,29,3764
G2400330800207,1990,800207,2487,0,Tract 8002.07,39067033,-76859343,4928,3796,907,10,209,6,172,77,23,0,4,68,5100
G2400330800208,1990,800208,5478,3,Tract 8002.08,39057150,-76855086,4691,3697,745,7,234,8,149,88,12,0,9,40,4840
G24003308003,1990,8003,882,0,Tract 8003,38966300,-76813097,64,53,10,0,1,0,3,3,0,0,0,0,67
G2400330800401,1990,800401,4950,0,Tract 8004.01,38997091,-76724161,2170,2093,46,7,23,1,47,45,1,0,0,1,2217
G2400330800402,1990,800402,3476,0,Tract 8004.02,38985267,-76746110,5654,5343,193,13,104,1,119,101,3,4,3,8,5773
G2400330800403,1990,800403,3151,0,Tract 8004.03,38998267,-76752196,2919,2822,52,4,41,0,56,43,0,0,0,13,2975
G2400330800404,1990,800404,17685,0,Tract 8004.04,38977711,-76793143,7165,5712,982,23,441,7,166,131,8,2,10,15,7331
