GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330800102,2000,800102,1356899,0,Census Tract 8001.02,39105108,-76855115,2588,1933,521,12,54,0,1,67,126,70,5,1,0,4,29,17,2714
G2400330800103,2000,800103,2103228,0,Census Tract 8001.03,39100349,-76844226,1716,973,553,7,134,2,2,45,182,82,7,0,0,0,86,7,1898
G2400330800105,2000,800105,2026965,0,Census Tract 8001.05,39103046,-76876554,2989,1611,1167,10,123,5,1,72,122,49,20,1,0,0,42,10,3111
G2400330800106,2000,800106,2128912,55094,Census Tract 8001.06,39094698,-76876394,2105,1111,774,9,138,1,9,63,83,22,11,0,0,0,30,20,2188
G2400330800107,2000,800107,1850099,0,Census Tract 8001.07,39099508,-76862560,6237,2923,2473,17,603,19,8,194,591,246,46,11,2,7,185,94,6828
G2400330800202,2000,800202,6749188,11669,Census Tract 8002.02,39085843,-76861900,4501,2091,1827,12,417,4,19,131,202,101,17,0,2,0,68,14,4703
G2400330800203,2000,800203,10514626,355795,Census Tract 8002.03,39108858,-76893486,3943,3355,379,0,148,0,6,55,140,94,2,0,0,1,27,16,4083
G2400330800206,2000,800206,7708197,0,Census Tract 8002.06,39052542,-76832621,3677,1155,2240,14,191,1,1,75,120,51,18,4,0,0,32,15,3797
G2400330800207,2000,800207,2485754,0,Census Tract 8002.07,39067142,-76859038,4882,1994,2449,7,231,2,36,163,273,104,22,3,0,1,117,26,5155
G2400330800208,2000,800208,5474910,3267,Census Tract 8002.08,39059259,-76854703,5924,3000,2395,8,341,1,13,166,196,87,18,1,0,0,70,20,6120
G2400330800209,2000,800209,659762,0,Census Tract 8002.09,39087340,-76848557,4100,950,2759,12,270,0,5,104,372,154,25,0,0,0,157,36,4472
G2400330800210,2000,800210,938330,0,Census Tract 8002.10,39079543,-76856810,2753,770,1744,10,145,0,13,71,166,64,20,1,2,0,67,12,2919
G2400330800211,2000,800211,2985821,0,Census Tract 8002.11,39082946,-76846093,2765,1150,1329,6,170,3,24,83,116,41,7,0,0,0,62,6,2881
G2400330800401,2000,800401,4949643,0,Census Tract 8004.01,38992979,-76730579,2398,2025,270,4,56,0,4,39,95,46,9,0,0,0,20,20,2493
