GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330800102,2020,800102,1344342,0,Census Tract 8001.02,39.1061029,-76.8569904,2402,1085,1001,2,127,0,44,143,727,64,12,10,1,0,469,171,3129
G2400330800103,2020,800103,2284366,0,Census Tract 8001.03,39.0966921,-76.8401149,1753,490,988,11,148,0,18,98,701,68,14,34,1,0,423,161,2454
G2400330800105,2020,800105,2077269,1651,Census Tract 8001.05,39.1059782,-76.8746806,3271,691,2092,9,283,3,26,167,967,85,31,27,0,1,570,253,4238
G2400330800106,2020,800106,2236037,51673,Census Tract 8001.06,39.0953558,-76.8795704,2759,472,1865,15,265,1,34,107,402,23,30,15,1,0,195,138,3161
G2400330800108,2020,800108,916052,0,Census Tract 8001.08,39.0957097,-76.8603976,3542,513,2622,18,197,2,52,138,809,61,42,32,2,2,415,255,4351
G2400330800109,2020,800109,877323,0,Census Tract 8001.09,39.0989194,-76.8657097,2323,579,1402,5,173,2,35,127,1569,148,43,48,0,0,901,429,3892
G2400330800203,2020,800203,10538316,296165,Census Tract 8002.03,39.1017126,-76.899811,4129,2340,1048,4,426,0,26,285,754,74,33,24,1,0,392,230,4883
G2400330800206,2020,800206,7884451,55587,Census Tract 8002.06,39.0425507,-76.8264852,3670,529,2692,24,221,0,22,182,602,47,61,26,2,0,300,166,4272
G2400330800209,2020,800209,721761,0,Census Tract 8002.09,39.0865559,-76.8499027,2945,381,2304,9,124,2,27,98,1843,128,40,81,0,0,1204,390,4788
G2400330800210,2020,800210,938549,0,Census Tract 8002.10,39.0769091,-76.8552654,3001,225,2415,5,212,0,22,122,688,58,69,24,5,1,394,137,3689
G2400330800211,2020,800211,2999983,9662,Census Tract 8002.11,39.0771053,-76.8420634,2562,543,1735,5,167,0,15,97,446,39,26,19,0,1,243,118,3008
G2400330800212,2020,800212,4271544,8201,Census Tract 8002.12,39.0789014,-76.8838574,5895,933,3547,5,1110,1,47,252,479,87,55,6,0,0,153,178,6374
G2400330800213,2020,800213,2389032,8137,Census Tract 8002.13,39.0861685,-76.8633956,3873,738,2316,6,569,11,40,193,953,80,61,64,5,0,459,284,4826
G2400330800216,2020,800216,3050885,17537,Census Tract 8002.16,39.0652176,-76.8696671,3779,817,2248,2,502,0,35,175,613,35,31,10,6,0,298,233,4392
G2400330800217,2020,800217,2907673,5519,Census Tract 8002.17,39.0546111,-76.8493195,3994,735,2748,11,267,1,29,203,782,95,26,47,8,1,427,178,4776
G2400330800218,2020,800218,2086674,0,Census Tract 8002.18,39.0693303,-76.8592109,4259,683,3163,7,179,1,33,193,1353,91,47,35,0,0,845,335,5612
G2400330800401,2020,800401,4912979,34739,Census Tract 8004.01,38.9947113,-76.7251021,2316,1246,754,5,160,2,22,127,276,30,3,4,2,0,117,120,2592
G2400330800402,2020,800402,3500727,0,Census Tract 8004.02,38.9837933,-76.7438263,4513,2447,1469,2,258,0,38,299,692,112,33,21,4,0,337,185,5205
G2400330800403,2020,800403,3230805,1039,Census Tract 8004.03,38.9981639,-76.7514702,3560,1503,1549,11,199,6,32,260,392,74,26,0,9,1,150,132,3952
G2400330800408,2020,800408,10478089,211968,Census Tract 8004.08,38.9726945,-76.8073698,6291,910,4740,5,345,0,42,249,1016,80,40,42,1,0,585,268,7307
G2400330800409,2020,800409,7986896,48332,Census Tract 8004.09,38.9840406,-76.7772461,5975,1637,3692,6,305,2,49,284,703,67,45,15,4,0,398,174,6678
G2400330800410,2020,800410,14359691,67185,Census Tract 8004.10,39.0107193,-76.7682859,6346,1254,4460,10,343,3,32,244,684,42,53,21,4,3,393,168,7030
G2400330800411,2020,800411,33728099,971256,Census Tract 8004.11,39.0245929,-76.8124995,4453,697,3174,4,397,1,30,150,424,30,32,4,0,3,239,116,4877
G2400330800412,2020,800412,2178862,0,Census Tract 8004.12,38.9839494,-76.8433498,3990,412,2774,5,597,3,25,174,817,43,25,34,4,0,572,139,4807
G2400330800413,2020,800413,1485027,1843,Census Tract 8004.13,38.9864764,-76.8288898,4021,165,3605,5,140,0,4,102,327,18,36,7,0,0,137,129,4348
G2400330800504,2020,800504,9817825,40578,Census Tract 8005.04,38.9689221,-76.7177355,4157,2493,1192,16,184,0,36,236,563,111,17,27,5,0,225,178,4720
G2400330800505,2020,800505,2216583,0,Census Tract 8005.05,38.9581151,-76.7307043,2377,1366,741,4,94,1,12,159,360,60,23,3,1,2,166,105,2737
G2400330800507,2020,800507,40411114,266564,Census Tract 8005.07,38.9064512,-76.7062714,3724,914,2409,6,167,3,39,186,243,28,24,6,0,1,107,77,3967
G2400330800511,2020,800511,4025176,0,Census Tract 8005.11,38.9112952,-76.729449,4696,1163,3002,11,196,3,57,264,526,61,38,13,4,0,244,166,5222
G2400330800513,2020,800513,5893330,15270,Census Tract 8005.13,38.9606453,-76.7593049,6379,2072,3522,13,355,1,45,371,571,59,25,12,3,0,259,213,6950
G2400330800514,2020,800514,7163916,6615,Census Tract 8005.14,38.9592889,-76.7834766,6305,453,5026,14,501,4,29,278,281,26,70,0,0,0,78,107,6586
G2400330800515,2020,800515,3134435,52961,Census Tract 8005.15,38.9456938,-76.7452951,3971,905,2636,5,205,0,24,196,365,46,24,4,2,0,166,123,4336
G2400330800516,2020,800516,2609549,39107,Census Tract 8005.16,38.9454867,-76.7288343,3651,677,2507,9,210,1,18,229,238,32,32,4,2,1,98,69,3889
G2400330800517,2020,800517,11813306,29644,Census Tract 8005.17,38.912238,-76.7643572,5394,351,4603,9,167,0,33,231,228,24,23,8,0,0,81,92,5622
G2400330800518,2020,800518,12780376,191351,Census Tract 8005.18,38.929507,-76.7691425,3988,309,3349,1,119,2,39,169,188,11,24,7,1,0,77,68,4176
G2400330800519,2020,800519,3127539,0,Census Tract 8005.19,38.9266468,-76.7247516,3716,718,2550,5,214,0,14,215,278,21,30,7,3,0,133,84,3994
G2400330800520,2020,800520,645338,0,Census Tract 8005.20,38.9394397,-76.722106,2299,113,2027,3,51,0,14,91,141,16,31,0,3,0,45,46,2440
G2400330800521,2020,800521,10295901,29564,Census Tract 8005.21,38.889193,-76.7802285,7633,194,7042,7,127,0,37,226,252,19,66,7,0,0,94,66,7885
G2400330800522,2020,800522,4746178,3012,Census Tract 8005.22,38.8843063,-76.7487053,3735,75,3448,4,46,0,6,156,106,21,25,0,0,0,21,39,3841
G2400330800605,2020,800605,24369187,741705,Census Tract 8006.05,38.7982387,-76.7484697,4579,452,3883,9,51,2,24,158,288,43,46,0,2,0,132,65,4867
G2400330800606,2020,800606,2008020,74554,Census Tract 8006.06,38.8278223,-76.7622344,4649,228,4159,14,37,3,16,192,129,7,36,5,0,0,52,29,4778
G2400330800607,2020,800607,16425298,148319,Census Tract 8006.07,38.8552574,-76.7754842,5876,286,5243,11,116,1,24,195,324,31,49,9,0,0,119,116,6200
G2400330800608,2020,800608,11747379,98431,Census Tract 8006.08,38.8558523,-76.7424353,7933,259,7184,3,162,7,39,279,279,13,95,4,2,0,72,93,8212
G2400330800609,2020,800609,15788737,214224,Census Tract 8006.09,38.8418527,-76.7119581,3344,276,2880,16,32,5,19,116,311,13,51,20,0,0,174,53,3655
G2400330800701,2020,800701,27397345,56491,Census Tract 8007.01,38.8401423,-76.8240372,8297,379,7365,15,136,5,47,350,505,54,84,3,1,1,177,185,8802
G2400330800704,2020,800704,8596603,0,Census Tract 8007.04,38.7781062,-76.7828533,5194,455,4446,15,50,0,45,183,212,29,43,6,2,0,51,81,5406
G2400330800705,2020,800705,9282814,38181,Census Tract 8007.05,38.761088,-76.7865355,4074,352,3473,18,38,0,23,170,162,18,26,4,0,0,51,63,4236
G2400330800706,2020,800706,11530097,28423,Census Tract 8007.06,38.7764948,-76.8169711,3724,207,3270,1,63,7,38,138,287,12,46,8,0,1,139,81,4011
G2400330800707,2020,800707,15718743,14570,Census Tract 8007.07,38.805245,-76.7912595,3305,410,2634,23,51,2,29,156,312,23,24,7,3,0,206,49,3617
G2400330800800,2020,800800,106692248,4690419,Census Tract 8008,38.7107792,-76.7300104,3113,1601,1221,10,33,2,24,222,333,31,7,9,0,0,182,104,3446
G2400330800900,2020,800900,79975256,6133908,Census Tract 8009,38.6048461,-76.7242704,1495,744,636,13,15,0,4,83,131,9,0,6,0,0,77,39,1626
G2400330801003,2020,801003,61935778,457953,Census Tract 8010.03,38.6794572,-76.8631539,5595,741,4373,52,143,3,28,255,414,36,53,9,1,0,217,98,6009
G2400330801004,2020,801004,36523559,219049,Census Tract 8010.04,38.7250838,-76.8513765,5288,660,4216,18,99,0,26,269,437,44,56,2,0,3,193,139,5725
G2400330801005,2020,801005,5191942,4858,Census Tract 8010.05,38.7565957,-76.835778,4034,315,3454,10,83,2,23,147,183,18,25,2,0,2,60,76,4217
G2400330801006,2020,801006,2737389,0,Census Tract 8010.06,38.7571595,-76.8230132,3679,259,3189,4,49,2,21,155,251,18,34,5,0,0,121,73,3930
G2400330801105,2020,801105,3358082,3015,Census Tract 8011.05,38.8072697,-76.8897501,1144,615,312,7,93,10,7,100,223,56,18,6,0,0,68,75,1367
G2400330801106,2020,801106,14701872,88621,Census Tract 8011.06,38.8098033,-76.8691578,1417,740,456,15,61,4,7,134,257,75,10,9,4,1,59,99,1674
G2400330801207,2020,801207,8131945,4918,Census Tract 8012.07,38.7540356,-76.8669781,4016,321,3420,13,103,0,18,141,706,42,39,9,2,0,332,282,4722
