FID,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC,NEAR_FID,NEAR_DIST,Type
97665,97666,0294 01  0035D,570196, ,2023-01-01,429,HR,046,2015,ELEVATOR APARTMENT,657,0.001427599,
25298,25299,0174 01  0017L1,583031, ,2023-01-01,448,MR,042,2015,ELEVATOR APARTMENT,676,0.001729791,
95840,95841,0293 35      C,545755, ,2023-01-01,400,HR,044,2015,ELEVATOR APARTMENT,655,0.001797413,
62672,62673,0293 01  0076B,584645, ,2023-01-01,398,HR,046,2019,ELEVATOR APARTMENT,656,0.00197404,
37367,37368,0294 12010308,455554, ,2023-01-01,1,LR,041,1997, ,658,0.002623239,
32531,32532,0174 19      A,583021, ,2023-01-01,421,MR,042,2017,ELEVATOR APARTMENT,676,0.002672639,
37570,37571,0174 17040003,562817, ,2023-01-01,1,SF,011,1977, ,676,0.003014567,
10610,10611,0174 17040004,562820, ,2023-01-01,1,SF,011,1977, ,676,0.003016146,
54035,54036,0174 17040002,562822, ,2023-01-01,1,SF,011,1977, ,676,0.003069935,
27491,27492,0174 17040005,545972, ,2023-01-01,1,SF,011,1977, ,676,0.003122853,
50086,50087,0262 09040006,545967, ,2023-01-01,1,SF,011,1977, ,676,0.003156471,
335341,335342,0174 17040001,545977, ,2023-01-01,1,SF,011,1977, ,676,0.00317864,
59143,59144,0262 09040007,545979, ,2023-01-01,1,SF,011,1977, ,676,0.003215008,
27765,27766,0294 12100201,444094, ,2023-01-01,1,LR,041,1997, ,658,0.003221383,
28072,28073,0294 12020414,446068, ,2023-01-01,1,LR,041,1997, ,658,0.003224097,
36902,36903,0174 17140001,553919, ,2023-01-01,1,SF,011,1978, ,676,0.003288681,
96452,96453,0303 46  0001,583554, ,2023-01-01,410,HR,046,2022,ELEVATOR APARTMENT,658,0.003370488,
38132,38133,0262 09040013,556738, ,2023-01-01,1,SF,011,1977, ,676,0.003372346,
50902,50903,0262 09040008,546009, ,2023-01-01,1,SF,011,1977, ,676,0.00341368,
40643,40644,0262 09040014,556731, ,2023-01-01,1,SF,011,1977, ,676,0.003420164,
28077,28078,0294 12030314,444795, ,2023-01-01,1,LR,041,1997, ,658,0.003446964,
46630,46631,0262 09040009,556743, ,2023-01-01,1,SF,011,1977, ,676,0.003496146,
47404,47405,0174 17020001,547942, ,2023-01-01,1,TH,031,1976, ,676,0.00350715,
28331,28332,0174 17020002,547914, ,2023-01-01,1,TH,031,1976, ,676,0.003535389,
33775,33776,0174 17020003,547947, ,2023-01-01,1,TH,031,1976, ,676,0.003560409,
48312,48313,0262 09040012,556723, ,2023-01-01,1,SF,011,1977, ,676,0.003568388,
33635,33636,0174 17020004,547962, ,2023-01-01,1,TH,031,1976, ,676,0.003587183,
31941,31942,0262 09040010,556707, ,2023-01-01,1,SF,011,1977, ,676,0.003612007,
112865,112866,0293 37  0001,583307, ,2023-01-01,404,HR,046,2020,ELEVATOR APARTMENT,656,0.003621386,
117981,117982,0293 37  0003,583304, ,2023-01-01,133,HR,046,2019,ELEVATOR APARTMENT,656,0.003621386,
27490,27491,0174 17020005,547933, ,2023-01-01,1,TH,031,1976, ,676,0.003650864,
31942,31943,0262 09040011,556718, ,2023-01-01,1,SF,011,1977, ,676,0.003656784,
57390,57391,0262 09140002,553918, ,2023-01-01,1,SF,011,1978, ,676,0.003657484,
29153,29154,0174 17020006,546672, ,2023-01-01,1,TH,031,1976, ,676,0.003692046,
48464,48465,0293 33      C,541832, ,2023-01-01,404,HR,044,2014,ELEVATOR APARTMENT,655,0.003698537,
48073,48074,0262 098A0006,546005, ,2023-01-01,1,SF,011,1977, ,676,0.003716017,
28332,28333,0174 17020007,547938, ,2023-01-01,1,TH,031,1976, ,676,0.003728778,
40646,40647,0262 098A0007,546008, ,2023-01-01,1,SF,011,1977, ,676,0.003734059,
54034,54035,0174 17020008,547939, ,2023-01-01,1,TH,031,1976, ,676,0.003798286,
57391,57392,0262 09140003,547934, ,2023-01-01,1,SF,011,1978, ,676,0.003802928,
44939,44940,0293 39  2106,570061, ,2023-01-01,1,HR,045,2019, ,656,0.00383913,
53081,53082,0262 098A0005,546002, ,2023-01-01,1,SF,011,1977, ,676,0.003853149,
29269,29270,0294 12090217,455828, ,2023-01-01,1,LR,041,1997, ,658,0.003893541,
50091,50092,0262 098A0008,545988, ,2023-01-01,1,SF,011,1977, ,676,0.003935266,
57392,57393,0262 09140004,547930, ,2023-01-01,1,SF,011,1978, ,676,0.003960556,
