NAME,ADDRESS,FACUSE,STATUS,PHONE,TOTAL_STUD,GIS_ID,WEB_URL,CAPACITY,SQUARE_FOOTAGE,POPULATION_PLAN,LONGITUDE,LATITUDE,SCHOOL_YEA,LEA_NAME,SCHOOL_NAM,SCHOOL_ID,GRADES,MAR_ID,XCOORD,YCOORD,ZIPCODE,FACILITY_ID,GLOBALID
Roosevelt High School,4301 13TH STREET NW,High School,Active,202-576-6130,497,dcps_459,http://profiles.dcps.dc.gov/Roosevelt+High+School,1055,331900,1100,-77.029197,38.943029,2023-2024,District of Columbia Public Schools,Roosevelt High School,459,9th-12th,252605,397468.88,141682.3,20011,DGS_0610.0,{3F2A258A-CF04-41EB-8BA0-2FDFED67A3A5}
Roosevelt STAY High School ,4301 13TH STREET NW,Youth Engagement,Active,202-576-8399,497,dcps_913,http://www.rooseveltstay.org/,,,,-77.029197,38.943029,2023-2024,District of Columbia Public Schools,Roosevelt STAY High School ,456,9th-12th,252605,397468.88,141682.3,20011,DGS_0610.0,{A1D8D0D3-D954-45D9-8FC5-1EED38D6E50C}
Ross Elementary School,1730 R STREET NW,Elementary School,Active,202-673-7200,157,dcps_305,http://www.rosselementary.org/,,,,-77.03966214,38.91239115,2023-2024,District of Columbia Public Schools,Ross Elementary School,305,PK3-5th,241714,396560.15,138281.53,20009,DGS_0340.0,{051BFD1C-DFF2-4596-AAEA-B3FF56462747}
Savoy Elementary School,2400 SHANNON PLACE SE,Elementary School,Active,202-939-2000,344,dcps_307,http://profiles.dcps.dc.gov/Savoy+Elementary+School,479,64800,450,-76.99360426,38.86285199,2023-2024,District of Columbia Public Schools,Savoy Elementary School,307,PK3-5th,278153,400555.08,132781.57,20020,DGS_0419.0,{8997E12D-7763-4D03-9FF4-1DA92F7BFCA8}
School Without Walls @ Francis-Stevens,2425 N STREET NW,Education Campus,Active,202-724-4841,233,dcps_409,http://www.swwfs.org/,520,95100,450,-77.052321,38.9074695,2023-2024,District of Columbia Public Schools,School Without Walls @ Francis-Stevens,409,PK3-8th,294544,395461.95,137735.74,20037,DGS_0420.0,{A01338C3-48B6-4099-B86F-DF4274532EEE}
School Without Walls High School,2130 G STREET NW,High School/Specialized,Active,202-645-9690,527,dcps_466,http://www.swwhs.org/,,47200,,-77.04818647,38.89812412,2023-2024,District of Columbia Public Schools,School Without Walls High School,466,9th-12th,242528,395820.01,136698.13,20037,DGS_0388.0,{FDC06CF9-4273-4968-9B4B-38990A2E3A53}
School-Within-School,920 F STREET NE,Elementary School/Specialized,Active,202-673-8275,84,dcps_201,http://www.schoolwithinschool.org,,,,-76.99318304,38.89756498,2023-2024,District of Columbia Public Schools,School-Within-School,175,PK3-5th,289072,400591.35,136634.98,20002,DGS_0762.0,{EF043D81-D9A8-4A38-B916-4BF787D4CFFE}
Seaton Elementary School,1503 10TH STREET NW,Elementary School,Active,202-673-7215,265,dcps_309,http://seatondc.org/,428,65000,325,-77.02488247,38.9106187,2023-2024,District of Columbia Public Schools,Seaton Elementary School,309,PK3-5th,279203,397841.92,138084.32,20001,DGS_0177.0,{43884E0E-43C2-49EF-99ED-DD8BB194573E}
Shaw Middle School,2001 10TH STREET NW,Middle School,Not Open,202-673-7329,,dcps_971,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,,,,-77.02574879,38.91754511,2023-2024,District of Columbia Public Schools,Shaw Middle School,0, ,294533,397767,138853.23,20001,N/A,{F1EDF458-77E8-4959-AF62-E49E10F908D5}
Shepherd Elementary School,7800 14TH STREET NW,Elementary School,Active,202-576-6140,331,dcps_313,http://www.shepherd-elementary.org,332,79700,400,-77.03399523,38.98460328,2023-2024,District of Columbia Public Schools,Shepherd Elementary School,313,PK3-5th,256319,397054.62,146297.53,20012,DGS_0296.0,{F3AE65DD-B6EB-49A3-A8D4-EC7AF4232BFA}
